ID_Aluno,ID_Disciplina,Presenca,Nota_Midterm,Nota_Final,Nota_Projetos,Nota_Total,Conceito
S1114,Business,77.15,43.24,75.98,58.3,58.81,C
S1115,Engineering,69.18,71.96,91.35,58.67,51.03,B
S1116,CS,50.07,51.46,64.52,73.87,94.78,D
S1117,CS,,77.95,95.93,76.29,79.0,B
S1118,CS,87.59,73.13,94.18,67.06,67.57,B
S1119,Business,87.35,75.15,52.49,65.65,75.67,A
S1120,CS,67.25,58.15,55.54,71.57,63.04,B
S1121,Mathematics,76.11,78.39,50.83,84.52,81.74,C
S1122,Mathematics,68.0,89.77,51.76,54.22,80.82,B
S1123,CS,50.8,99.88,94.47,85.53,54.01,D
S1124,CS,78.12,90.31,95.87,96.31,95.53,D
S1125,Business,56.19,73.45,43.11,88.18,73.03,C
S1126,CS,54.0,51.61,75.62,59.58,59.76,F
S1127,CS,87.77,80.89,73.85,54.37,65.37,A
S1128,CS,50.48,96.26,63.43,74.52,93.31,D
S1129,Engineering,97.95,52.71,77.9,97.82,69.16,A
S1130,Business,75.76,55.36,96.84,90.95,78.1,A
S1131,CS,99.15,48.94,50.22,78.14,97.38,A
S1132,CS,52.9,84.2,47.22,57.15,82.59,D
S1133,Mathematics,79.18,64.39,42.0,85.69,83.79,D
S1134,Business,67.47,43.76,61.83,90.65,62.43,A
S1135,Engineering,92.17,92.5,60.26,96.75,83.41,A
S1136,Business,,73.46,65.85,80.61,69.69,F
S1137,Engineering,63.02,59.87,70.2,75.72,95.55,C
S1138,Business,92.88,60.64,85.47,80.96,56.48,A
S1139,CS,68.73,57.42,63.53,97.16,64.28,D
S1140,CS,50.84,67.33,59.84,81.41,53.3,D
S1141,Business,69.51,60.22,89.61,62.88,69.05,B
S1142,Engineering,82.73,72.88,90.99,81.81,57.42,A
S1143,Mathematics,62.72,86.41,53.97,93.99,92.26,B
S1144,CS,71.6,80.47,58.88,78.35,96.25,D
S1145,Mathematics,52.84,57.67,89.51,75.13,83.47,F
S1146,Mathematics,79.4,71.72,44.76,86.67,55.17,F
S1147,CS,87.81,90.41,59.55,83.05,67.08,A
S1148,Business,70.67,44.09,66.9,52.83,98.22,D
S1149,Engineering,71.01,44.7,51.22,86.27,56.82,C
S1150,Mathematics,54.41,73.37,50.79,70.38,77.82,C
S1151,Engineering,60.1,78.35,65.49,97.04,67.65,A
S1152,Business,57.73,52.68,85.27,98.54,99.96,C
S1153,Engineering,74.08,84.71,90.41,72.44,64.27,D
S1154,CS,76.46,78.78,98.75,98.44,52.39,A
S1155,CS,,95.4,44.44,65.54,85.11,F
S1156,Engineering,53.66,50.14,53.0,84.13,66.34,D
S1157,Business,79.99,85.08,85.4,53.75,82.88,B
S1158,Engineering,76.32,45.02,72.44,57.25,55.23,F
S1159,Engineering,75.81,73.92,59.66,93.23,76.15,D
S1160,CS,93.66,73.11,52.34,94.69,68.76,A
S1161,Engineering,60.28,63.3,56.83,76.63,76.84,C
S1162,CS,52.04,90.67,65.76,66.99,92.67,D
S1163,Business,83.61,40.26,50.63,72.55,98.64,A
S1164,Mathematics,,71.21,97.85,93.48,87.66,F
S1165,Engineering,50.88,53.03,46.46,60.55,88.34,D
S1166,CS,62.57,84.61,99.13,64.74,76.45,C
S1167,CS,65.47,42.58,90.51,89.27,54.87,A
S1168,Engineering,80.84,89.89,65.39,96.76,83.35,A
S1169,Engineering,58.63,90.29,84.39,54.65,57.39,D
S1170,Business,70.65,89.97,80.29,90.19,62.28,D
S1171,CS,74.12,49.15,52.8,82.25,85.38,C
S1172,Business,72.96,77.82,60.34,61.54,82.85,F
S1173,Engineering,98.7,40.86,70.79,87.79,65.72,B
S1174,CS,,90.88,78.27,86.4,88.6,C
S1175,Engineering,97.55,83.38,72.57,57.1,96.97,A
S1176,CS,79.1,71.87,68.38,75.11,77.26,F
S1177,Engineering,89.79,83.84,66.59,87.91,83.88,A
S1178,Business,71.52,45.66,69.9,59.58,63.59,B
S1179,Engineering,72.69,71.72,66.06,73.14,98.54,F
S1180,Business,93.97,57.48,72.48,56.04,63.69,A
S1181,Engineering,94.8,98.36,93.28,65.34,94.37,A
S1182,CS,61.93,91.43,77.97,60.9,96.39,A
S1183,Engineering,59.96,84.0,83.36,75.25,85.98,C
S1184,Engineering,74.81,96.02,75.85,57.06,90.58,D
S1185,CS,95.01,60.81,78.58,69.16,72.89,A
S1186,CS,66.12,94.05,74.7,63.76,95.98,A
S1187,Engineering,82.6,59.51,41.61,87.3,87.13,F
S1188,CS,85.41,83.97,99.98,84.98,66.34,A
S1189,CS,88.93,84.19,42.02,54.75,51.75,A
S1190,Engineering,78.2,41.1,63.71,97.67,77.04,F
S1191,CS,70.12,61.66,46.31,87.23,92.03,F
S1192,Mathematics,98.35,41.17,45.82,80.8,93.03,B
S1193,CS,80.57,99.83,87.61,73.89,91.76,F
S1194,Business,86.43,47.33,65.56,58.9,60.74,A
S1195,Engineering,67.25,72.57,88.07,98.1,71.31,C
S1196,Business,83.5,87.43,56.37,50.39,80.69,C
S1197,CS,62.89,52.08,55.39,84.62,83.38,D
S1198,Mathematics,62.25,69.1,55.07,75.37,66.73,D
S1199,Engineering,85.74,76.45,76.97,95.13,84.63,A
S1200,Business,76.07,49.61,88.9,69.03,79.54,C
S1201,CS,84.16,86.71,67.14,75.93,78.34,C
S1202,CS,63.47,57.96,62.75,87.12,83.15,B
S1203,Engineering,79.94,52.66,98.41,52.38,80.17,A
S1204,CS,72.2,73.5,47.01,52.72,58.34,C
S1205,Engineering,79.85,64.62,69.2,60.58,93.72,C
S1206,CS,64.54,95.22,64.51,57.32,62.03,D
S1207,Engineering,85.77,92.8,45.89,50.32,87.22,B
S1208,Mathematics,90.3,69.0,56.09,81.15,58.82,B
S1209,Engineering,63.0,61.56,41.71,89.8,83.05,D
S1210,Business,65.03,59.53,92.62,97.86,94.78,C
S1211,Engineering,83.06,56.05,76.47,72.05,50.49,F
S1212,Engineering,,72.67,88.9,63.99,98.98,B
S1213,Mathematics,85.2,88.3,71.29,93.2,51.48,A
S1214,Business,84.13,58.65,75.97,92.22,50.57,A
S1215,Business,69.64,51.41,82.05,81.24,92.88,B
S1216,CS,69.74,68.53,94.48,63.66,85.44,D
S1217,Engineering,62.74,44.14,45.51,95.43,55.29,B
S1218,CS,57.84,82.08,59.86,58.92,96.87,C
S1219,Engineering,,71.1,82.54,52.18,83.6,A
S1220,Engineering,54.66,69.78,97.5,89.83,55.55,F
S1221,Business,96.89,58.03,98.85,78.18,93.03,A
S1222,Business,91.33,94.28,78.29,62.32,74.05,A
S1223,Engineering,92.88,45.43,51.62,83.54,63.91,B
S1224,CS,95.33,92.19,47.15,88.34,91.25,A
S1225,Business,70.43,62.6,96.76,92.23,86.92,B
S1226,CS,92.34,92.84,66.04,64.11,81.15,B
S1227,Engineering,,83.73,51.69,51.28,94.93,B
S1228,CS,51.08,46.25,96.03,75.5,93.06,D
S1229,CS,89.24,89.89,46.27,92.8,61.34,B
S1230,Mathematics,53.74,80.93,83.77,60.39,93.93,D
S1231,CS,99.43,41.94,77.52,71.06,68.7,B
S1232,Engineering,83.74,48.02,45.26,62.82,71.59,C
S1233,CS,87.67,78.14,60.32,50.67,98.62,A
S1234,Mathematics,62.29,79.76,49.0,94.93,87.99,D
S1235,Business,83.69,84.8,76.27,56.75,66.07,D
S1236,CS,52.16,83.21,68.63,88.34,82.4,D
S1237,CS,91.89,79.57,40.26,67.33,76.97,B
S1238,Engineering,,85.97,98.54,63.88,55.83,B
S1239,CS,84.87,74.51,60.98,97.05,94.39,F
S1240,Engineering,61.22,55.65,55.49,82.86,91.09,F
S1241,CS,53.42,94.74,53.35,84.35,88.89,D
S1242,CS,74.07,41.09,49.53,87.98,77.96,D
S1243,Engineering,58.46,61.99,99.95,67.05,61.04,F
S1244,CS,86.47,83.73,57.71,78.18,94.19,B
S1245,Business,61.88,65.63,64.33,63.51,67.65,B
S1246,CS,67.12,41.49,92.28,91.73,51.01,C
S1247,CS,78.37,43.96,78.51,79.97,99.09,B
S1248,Mathematics,64.25,78.92,62.12,62.17,93.06,B
S1249,Engineering,,97.89,93.9,94.99,81.13,B
S1250,Business,90.78,73.11,84.98,79.04,50.62,A
S1251,CS,58.96,70.41,53.67,74.75,61.39,D
S1252,Engineering,54.11,59.1,78.62,51.72,72.6,C
S1253,Business,66.42,55.4,95.34,95.49,81.4,C
S1254,CS,71.22,41.26,69.79,97.61,85.41,C
S1255,Business,77.13,56.38,84.02,78.13,89.41,C
S1256,Engineering,68.62,66.95,98.27,72.13,77.78,A
S1257,CS,89.5,51.88,81.42,67.98,82.81,A
S1258,Engineering,51.97,45.24,46.15,63.4,90.56,D
S1259,Engineering,71.59,83.06,54.67,78.73,85.99,C
S1260,CS,69.11,93.68,75.71,56.4,97.74,A
S1261,Engineering,82.38,96.21,56.53,95.96,93.73,F
S1262,CS,98.31,77.08,97.45,58.8,58.47,A
S1263,Engineering,75.52,43.17,64.32,87.28,97.37,C
S1264,Business,99.34,84.45,67.43,65.34,60.21,B
S1265,Engineering,65.11,46.61,82.1,61.3,99.56,F
S1266,Mathematics,51.54,80.18,71.45,77.89,85.07,D
S1267,CS,58.28,86.76,62.93,88.26,81.38,F
S1268,Engineering,69.76,83.55,44.6,86.34,66.22,B
S1269,Business,,97.11,75.79,61.69,56.66,B
S1270,Engineering,,84.29,92.05,66.53,56.31,C
S1271,Engineering,71.63,81.59,81.15,93.44,93.33,B
S1272,CS,66.91,55.7,62.89,86.16,71.62,F
S1273,CS,,95.49,47.66,85.63,77.99,F
S1274,CS,64.81,50.77,88.98,63.45,96.59,B
S1275,Mathematics,94.32,94.29,96.5,89.6,62.77,B
S1276,CS,,58.76,63.3,67.92,88.2,F
S1277,Business,85.7,47.81,83.72,70.07,73.52,B
S1278,Engineering,80.6,89.6,64.65,64.38,60.64,C
S1279,CS,71.36,40.15,70.14,56.07,92.65,D
S1280,Engineering,61.95,89.93,90.19,71.02,84.0,F
S1281,Business,68.45,55.74,45.01,50.85,54.75,D
S1282,Business,79.61,93.08,71.82,72.8,77.09,D
S1283,CS,,81.49,52.88,86.25,92.59,F
S1284,CS,60.74,79.97,60.39,98.04,53.35,C
S1285,CS,55.82,61.92,78.67,53.93,70.81,F
S1286,CS,,43.56,41.63,64.06,90.26,A
S1287,Engineering,72.02,89.8,75.63,74.71,92.92,B
S1288,Business,81.26,50.25,57.01,58.52,88.77,A
S1289,CS,74.52,62.34,80.17,55.84,65.29,F
S1290,Business,93.63,76.02,48.49,72.62,75.35,B
S1291,Engineering,77.35,68.94,84.15,79.04,87.06,B
S1292,CS,74.04,51.92,78.74,91.01,57.63,A
S1293,CS,96.23,48.44,98.27,99.89,79.75,B
S1294,Business,,47.39,94.67,88.71,86.02,F
S1295,Business,55.58,91.78,57.0,61.07,92.5,D
S1296,Engineering,58.89,41.89,41.64,87.4,55.58,C
S1297,CS,89.36,98.62,79.32,76.86,66.48,A
S1298,CS,91.79,51.91,76.17,72.54,77.08,A
S1299,CS,77.26,46.62,41.65,96.79,85.05,A
S1300,Engineering,77.72,74.62,47.36,85.1,86.5,B
S1301,Business,81.6,44.8,75.08,84.08,62.66,C
S1302,CS,71.96,76.15,94.71,50.59,50.69,C
S1303,Business,84.01,91.04,94.39,93.25,84.69,B
S1304,Engineering,55.42,42.87,49.09,89.67,95.46,D
S1305,Engineering,98.06,87.99,63.07,64.95,89.88,A
S1306,Mathematics,87.51,63.67,42.59,64.61,81.12,B
S1307,CS,81.56,49.57,68.16,52.67,98.88,D
S1308,Mathematics,65.82,50.57,85.19,52.54,71.66,B
S1309,CS,58.05,95.13,87.4,83.43,76.25,C
S1310,CS,70.47,46.64,69.94,59.31,50.61,C
S1311,Business,83.08,92.01,45.75,96.18,97.3,F
S1312,Mathematics,,72.65,62.88,92.12,79.17,F
S1313,Engineering,69.13,42.34,95.93,67.44,69.54,D
S1314,Engineering,80.66,67.87,53.78,69.0,52.23,B
S1315,Business,90.69,89.05,59.19,66.36,68.12,A
S1316,Business,51.31,83.57,84.81,54.62,50.18,F
S1317,CS,72.53,69.33,84.01,51.57,66.22,B
S1318,Business,,91.6,94.73,72.61,97.57,C
S1319,Engineering,77.31,47.22,63.29,97.15,57.71,B
S1320,Engineering,82.57,94.6,70.88,95.86,77.27,D
S1321,Engineering,75.83,90.79,68.04,90.49,59.33,A
S1322,Engineering,99.59,82.5,95.67,81.43,89.17,A
S1323,Mathematics,52.73,89.07,86.16,92.81,78.12,C
S1324,Engineering,74.55,72.63,89.89,75.75,60.11,C
S1325,Mathematics,54.57,80.51,47.99,59.01,93.31,C
S1326,CS,57.99,73.64,87.51,84.21,89.2,D
S1327,Business,69.15,61.33,65.98,96.03,97.57,C
S1328,Business,57.78,74.13,41.4,50.98,50.03,D
S1329,Engineering,98.18,55.45,43.61,62.57,72.86,A
S1330,Engineering,97.34,66.42,80.67,63.27,99.99,B
S1331,Engineering,66.81,56.85,62.32,54.95,90.56,C
S1332,Business,81.99,47.37,92.09,61.27,91.56,C
S1333,Business,76.69,59.31,84.06,69.2,81.06,D
S1334,CS,90.78,91.12,41.3,96.99,85.64,A
S1335,Business,81.37,62.86,81.21,93.01,90.27,A
S1336,Engineering,50.01,84.88,51.54,97.3,54.61,D
S1337,CS,88.16,50.51,65.35,56.03,84.63,A
S1338,Business,87.34,65.47,77.48,51.4,90.77,A
S1339,Engineering,75.49,46.89,92.36,55.49,52.04,F
S1340,Business,95.15,48.32,67.37,95.71,64.85,A
S1341,CS,95.42,77.05,88.51,57.87,66.2,A
S1342,CS,76.2,76.45,86.98,78.63,92.73,D
S1343,Engineering,80.4,52.8,64.87,61.38,89.02,D
S1344,CS,99.83,68.47,70.06,51.03,82.82,A
S1345,Business,64.94,91.8,82.03,54.23,90.24,B
S1346,CS,66.23,50.45,41.87,85.49,72.67,A
S1347,Engineering,59.14,41.15,93.45,59.12,93.74,D
S1348,CS,94.79,79.12,86.19,61.46,61.71,A
S1349,CS,87.22,43.21,54.96,68.86,85.23,A
S1350,Business,55.28,98.8,98.87,82.86,62.09,F
S1351,CS,99.09,76.58,50.76,73.47,51.99,A
S1352,Engineering,86.55,68.22,94.85,97.23,64.21,B
S1353,Mathematics,92.53,65.8,59.47,71.71,74.65,A
S1354,Engineering,,74.38,85.79,59.96,92.17,A
S1355,Business,75.25,45.44,67.38,76.81,75.44,F
S1356,CS,84.93,95.8,84.19,72.54,58.96,A
S1357,CS,77.15,77.54,49.35,89.36,99.64,D
S1358,Business,83.33,51.04,56.17,96.76,63.5,A
S1359,Business,,73.75,45.99,91.81,99.26,B
S1360,Engineering,68.72,48.0,91.91,69.45,96.82,B
S1361,Engineering,92.43,41.05,57.78,60.81,77.12,A
S1362,Engineering,58.15,77.83,81.67,95.72,54.6,D
S1363,CS,63.54,78.91,89.21,69.3,84.77,B
S1364,Business,52.17,75.02,94.09,88.51,92.29,C
S1365,Engineering,68.22,51.01,46.38,99.48,72.27,B
S1366,Engineering,69.0,76.21,93.58,78.87,61.95,F
S1367,Business,90.26,43.39,51.84,73.99,90.14,A
S1368,CS,82.66,76.55,84.21,84.99,77.25,F
S1369,CS,71.84,73.24,83.73,59.7,59.88,D
S1370,Business,82.61,79.32,40.51,74.41,97.48,C
S1371,Business,52.64,93.73,53.24,65.62,97.4,D
S1372,Engineering,59.01,91.02,69.51,58.21,68.35,C
S1373,CS,81.35,98.84,65.2,80.51,53.2,D
S1374,CS,82.07,98.57,95.11,78.79,81.54,B
S1375,Engineering,88.71,86.34,61.58,88.06,65.86,B
S1376,CS,70.15,97.39,96.22,93.65,53.32,B
S1377,Business,86.13,92.04,67.57,61.02,94.59,A
S1378,Mathematics,,83.65,97.86,88.99,99.91,D
S1379,Business,,44.52,84.24,68.37,67.52,C
S1380,CS,60.76,42.94,89.76,81.44,87.24,D
S1381,Business,77.58,90.26,46.29,92.51,53.29,A
S1382,CS,80.09,69.38,75.17,62.81,68.49,F
S1383,CS,99.93,88.88,48.56,80.05,55.44,A
S1384,CS,60.06,58.78,57.86,74.02,52.77,C
S1385,CS,76.16,63.86,77.41,89.53,79.44,A
S1386,Mathematics,67.31,82.01,83.57,84.86,90.1,D
S1387,CS,76.29,94.92,42.35,88.48,72.65,C
S1388,CS,61.61,45.27,71.86,64.4,76.21,D
S1389,Mathematics,52.38,91.69,73.92,85.22,63.54,F
S1390,CS,78.63,87.58,44.73,80.29,86.82,B
S1391,Business,66.79,58.93,70.04,72.83,68.05,C
S1392,CS,59.1,61.31,82.83,68.92,53.37,C
S1393,CS,66.2,42.79,43.19,66.58,58.28,D
S1394,Mathematics,52.46,40.94,85.62,50.48,56.42,D
S1395,CS,97.52,68.62,74.59,58.48,71.79,B
S1396,Engineering,79.06,45.73,89.99,52.95,53.26,F
S1397,CS,90.74,51.64,53.08,92.42,90.32,A
S1398,CS,71.16,90.81,90.0,93.0,95.4,F
S1399,CS,95.17,74.26,45.67,92.31,62.42,A
S1400,CS,74.17,78.02,64.23,90.9,74.28,D
S1401,CS,78.7,51.25,51.97,61.07,75.95,B
S1402,Business,74.59,89.72,92.56,74.59,99.25,C
S1403,Engineering,86.66,92.08,82.3,95.39,53.28,B
S1404,CS,78.33,71.4,41.52,87.99,83.39,A
S1405,Engineering,63.58,94.75,40.57,50.09,67.29,B
S1406,Mathematics,57.28,90.69,57.47,72.97,75.09,D
S1407,Mathematics,80.31,83.88,48.6,50.53,60.85,C
S1408,Business,74.46,84.04,77.82,64.03,58.01,A
S1409,Business,54.8,46.32,79.83,71.79,62.18,C
S1410,CS,69.78,56.25,96.52,94.64,53.56,F
S1411,CS,75.74,44.01,97.12,82.72,63.9,D
S1412,Engineering,91.34,40.52,79.53,68.12,84.52,A
S1413,Engineering,53.81,49.5,40.34,74.53,82.57,F
S1414,Engineering,67.42,92.83,61.54,90.87,77.72,A
S1415,Engineering,91.13,54.39,70.79,64.98,50.02,A
S1416,Mathematics,82.42,98.21,69.95,80.75,56.29,D
S1417,Business,64.5,75.84,76.2,63.11,92.14,A
S1418,Engineering,92.27,54.24,97.63,74.0,63.59,A
S1419,Business,74.66,69.83,93.11,51.23,95.61,C
S1420,CS,74.92,53.15,46.53,92.61,93.73,A
S1421,CS,98.83,99.04,55.96,52.42,57.75,A
S1422,CS,97.36,90.84,89.99,61.22,94.91,B
S1423,Engineering,67.93,41.57,89.46,66.68,81.39,A
S1424,CS,57.03,96.87,56.52,81.26,81.51,F
S1425,Business,66.28,83.26,83.84,86.0,92.63,C
S1426,CS,51.52,44.94,80.32,54.02,70.25,D
S1427,Engineering,51.04,80.24,68.41,52.17,86.76,F
S1428,CS,69.78,78.82,52.09,89.95,83.39,C
S1429,CS,,53.13,93.32,85.61,88.58,F
S1430,Business,93.57,85.51,80.67,91.58,83.01,A
S1431,Engineering,75.57,45.22,50.14,83.83,54.0,B
S1432,Mathematics,78.26,69.37,82.29,87.55,64.64,F
S1433,Mathematics,50.3,40.6,84.49,68.95,97.0,D
S1434,CS,60.78,98.12,93.21,79.51,61.17,D
S1435,CS,,85.09,53.37,90.27,73.61,F
S1436,Business,87.73,49.53,99.33,58.61,67.85,A
S1437,Mathematics,57.28,60.5,49.2,71.14,54.31,C
S1438,Engineering,,49.63,76.04,87.02,59.06,C
S1439,Business,82.17,86.0,79.43,76.63,64.33,B
S1440,Business,61.47,43.53,65.14,84.08,73.17,D
S1441,CS,,90.42,68.5,64.64,93.73,A
S1442,Engineering,81.38,96.53,93.45,51.62,75.78,B
S1443,Business,95.04,80.6,78.72,51.46,82.6,A
S1444,Engineering,85.92,52.78,69.82,97.14,71.3,A
S1445,CS,,61.61,47.7,97.23,93.5,D
S1446,CS,79.37,68.63,40.44,60.56,83.13,C
S1447,CS,65.54,76.28,47.5,57.37,54.53,A
S1448,CS,99.96,80.12,97.37,50.91,73.88,B
S1449,Mathematics,87.44,73.25,85.85,61.56,91.36,A
S1450,CS,80.72,61.08,98.03,66.72,86.68,F
S1451,CS,71.16,93.46,42.14,62.06,95.27,D
S1452,CS,80.91,44.88,80.81,89.87,61.38,C
S1453,Engineering,67.08,67.98,42.66,87.47,98.86,C
S1454,Engineering,51.44,86.53,86.92,54.05,64.25,D
S1455,CS,69.75,43.65,62.86,84.87,52.51,F
S1456,CS,96.52,82.32,45.75,76.03,74.78,A
S1457,CS,81.32,89.18,74.08,56.61,55.52,F
S1458,Engineering,54.2,79.65,56.81,86.98,84.07,F
S1459,CS,,40.78,79.57,54.3,95.03,C
S1460,Mathematics,63.44,50.81,79.49,58.86,96.07,D
S1461,Engineering,62.19,60.53,82.3,57.46,80.35,F
S1462,CS,64.85,54.02,99.55,96.95,76.76,F
S1463,Business,78.86,97.76,63.2,84.91,99.7,F
S1464,CS,77.23,79.1,67.92,70.56,78.97,F
S1465,Engineering,74.57,57.82,88.28,91.11,96.37,F
S1466,CS,85.88,95.78,74.7,60.8,95.83,A
S1467,Engineering,65.83,84.44,42.24,96.55,64.48,C
