ID_Aluno,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Stress_Level (1-10),Sleep_Hours_per_Night
S1297,26.7,No,No,4,6.0
S1298,13.1,No,Yes,5,6.4
S1299,15.4,Yes,Yes,10,7.1
S1300,22.1,No,Yes,10,6.0
S1301,13.5,No,Yes,4,4.2
S1302,18.9,Yes,Yes,8,7.0
S1303,18.1,No,Yes,6,5.1
S1304,11.5,No,Yes,7,8.8
S1305,22.9,Yes,No,4,7.5
S1306,25.9,No,Yes,7,8.2
S1307,24.6,Yes,Yes,5,8.8
S1308,14.9,Yes,Yes,2,4.3
S1309,28.3,No,Yes,9,4.7
S1310,27.5,No,Yes,2,8.0
S1311,11.7,No,Yes,2,8.4
S1312,8.1,No,Yes,3,4.0
S1313,27.3,No,Yes,4,8.7
S1314,23.6,Yes,Yes,7,6.3
S1315,12.8,No,Yes,5,6.3
S1316,12.6,No,Yes,7,8.4
S1317,13.1,No,Yes,1,5.4
S1318,26.5,No,Yes,4,6.9
S1319,11.0,No,Yes,2,5.7
S1320,21.3,No,Yes,6,4.6
S1321,25.9,No,Yes,2,5.8
S1322,14.7,Yes,Yes,4,4.9
S1323,6.5,Yes,Yes,5,6.6
S1324,24.0,No,Yes,8,6.6
S1325,5.5,No,Yes,5,6.2
S1326,25.8,No,Yes,2,4.9
S1327,14.0,Yes,Yes,10,4.6
S1328,25.0,No,Yes,8,4.5
S1329,18.6,No,Yes,8,4.6
S1330,14.0,Yes,Yes,10,5.5
S1331,27.5,Yes,Yes,1,4.0
S1332,24.2,Yes,Yes,9,4.3
S1333,7.0,No,Yes,8,6.4
S1334,28.3,No,Yes,1,4.9
S1335,16.7,No,Yes,9,5.3
S1336,8.7,No,Yes,9,5.8
S1337,24.3,No,Yes,8,4.2
S1338,17.9,No,Yes,10,5.1
S1339,21.8,No,Yes,7,7.9
S1340,22.4,No,Yes,6,5.7
S1341,9.9,No,No,5,4.9
S1342,29.3,No,Yes,6,5.0
S1343,7.6,Yes,Yes,1,8.9
S1344,20.1,Yes,Yes,1,4.7
S1345,8.7,No,Yes,9,8.5
S1346,26.9,Yes,Yes,6,4.4
S1347,9.3,No,Yes,3,8.4
S1348,16.0,No,No,9,6.5
S1349,7.2,Yes,No,3,7.0
S1350,16.2,No,Yes,9,5.2
S1351,5.1,No,Yes,5,8.5
S1352,16.1,Yes,Yes,1,6.9
S1353,22.2,Yes,No,5,7.4
S1354,9.6,No,Yes,10,6.8
S1355,18.8,No,Yes,2,4.6
S1356,16.9,No,Yes,2,8.2
S1357,13.4,Yes,No,1,4.9
S1358,21.8,Yes,Yes,10,5.5
S1359,29.9,Yes,No,4,7.3
S1360,28.4,No,Yes,4,4.5
S1361,29.3,No,Yes,5,8.7
S1362,5.5,Yes,Yes,4,4.6
S1363,11.4,Yes,Yes,2,7.3
S1364,28.1,Yes,No,5,7.2
S1365,6.2,No,Yes,8,7.5
S1366,14.1,No,Yes,6,6.2
S1367,21.3,No,Yes,5,5.9
S1368,29.6,No,Yes,7,8.9
S1369,11.9,Yes,Yes,1,8.1
S1370,24.1,No,Yes,6,6.4
S1371,21.5,No,Yes,2,4.9
S1372,20.3,No,Yes,5,8.5
S1373,23.6,No,Yes,10,7.2
S1374,11.3,Yes,Yes,4,4.7
S1375,13.5,No,Yes,7,4.9
S1376,19.0,No,No,9,6.7
S1377,16.0,No,Yes,9,6.5
S1378,23.0,No,No,10,6.0
S1379,25.0,No,Yes,1,6.1
S1380,18.2,No,Yes,7,4.9
S1381,14.8,Yes,No,7,5.3
S1382,27.8,No,Yes,5,6.5
S1383,23.7,No,Yes,8,4.3
S1384,21.8,No,Yes,10,5.8
S1385,6.4,Yes,Yes,4,5.1
S1386,18.2,No,No,1,4.9
S1387,8.0,No,Yes,4,4.7
S1388,21.5,No,No,2,4.7
S1389,12.5,Yes,No,3,4.8
S1390,23.5,No,Yes,4,5.9
S1391,24.5,No,Yes,7,4.5
S1392,12.5,No,Yes,9,8.5
S1393,29.4,No,Yes,4,6.5
S1394,17.9,Yes,Yes,2,6.5
S1395,10.4,No,Yes,10,5.1
S1396,24.4,No,Yes,10,8.3
S1397,24.0,No,Yes,4,8.1
S1398,15.3,No,Yes,8,4.2
S1399,21.5,No,Yes,2,7.7
S1400,5.5,No,Yes,8,4.9
S1401,12.3,No,Yes,5,6.8
S1402,27.0,No,Yes,2,8.4
S1403,10.8,No,Yes,8,8.7
S1404,27.6,Yes,No,2,4.9
S1405,19.5,No,Yes,4,8.7
S1406,27.6,No,Yes,2,4.3
S1407,8.3,No,Yes,6,8.5
S1408,16.6,No,Yes,3,7.9
S1409,12.4,No,Yes,7,8.6
S1410,27.2,No,Yes,6,5.8
S1411,13.5,No,Yes,1,8.7
S1412,19.7,No,Yes,9,8.1
S1413,25.7,No,Yes,7,5.6
S1414,10.7,Yes,Yes,1,5.7
S1415,6.1,Yes,Yes,4,5.8
S1416,17.4,Yes,Yes,4,6.9
S1417,22.1,Yes,Yes,6,4.9
S1418,23.0,Yes,Yes,3,6.2
S1419,15.4,Yes,No,2,4.3
S1420,7.0,No,No,3,5.8
S1421,15.1,Yes,Yes,4,7.3
S1422,8.0,No,Yes,8,6.9
S1423,6.8,No,Yes,8,5.6
S1424,12.6,No,No,1,5.3
S1425,24.4,No,Yes,9,5.6
S1426,24.2,No,Yes,4,4.3
S1427,20.2,No,Yes,4,5.3
S1428,25.7,No,Yes,4,7.5
S1429,17.5,No,Yes,7,4.9
S1430,11.1,No,Yes,2,4.7
S1431,19.2,No,No,7,8.2
S1432,28.1,No,Yes,10,5.2
S1433,5.9,Yes,Yes,2,5.3
S1434,29.1,No,Yes,3,6.3
S1435,23.6,No,Yes,5,6.4
S1436,22.2,No,No,1,4.9
S1437,20.3,Yes,Yes,8,6.8
S1438,11.4,No,No,6,7.5
S1439,27.1,No,Yes,4,6.4
S1440,29.3,Yes,Yes,3,8.5
S1441,28.1,No,Yes,7,9.0
S1442,7.7,Yes,Yes,6,6.6
S1443,23.4,No,Yes,9,8.9
S1444,18.9,Yes,Yes,2,7.2
S1445,24.7,No,Yes,6,6.6
S1446,13.8,No,Yes,10,8.4
S1447,28.9,No,Yes,1,8.8
S1448,12.8,No,Yes,4,9.0
S1449,23.4,No,Yes,4,7.8
S1450,17.6,Yes,No,9,6.4
S1451,20.4,No,Yes,9,5.5
S1452,7.9,No,Yes,8,6.8
S1453,20.3,No,Yes,8,7.9
S1454,19.1,No,Yes,5,4.1
S1455,23.0,No,Yes,3,5.3
S1456,12.2,No,Yes,10,5.8
S1457,25.8,No,Yes,5,7.9
S1458,28.6,Yes,No,10,7.1
S1459,27.1,No,Yes,7,6.1
S1460,14.8,No,No,8,8.6
S1461,24.1,Yes,Yes,8,6.7
S1462,14.1,Yes,Yes,2,7.6
S1463,26.6,No,Yes,7,7.3
S1464,14.4,Yes,Yes,4,8.3
S1465,9.7,No,Yes,4,8.1
S1466,17.2,Yes,Yes,9,8.9
S1467,8.4,No,Yes,7,5.9
S1468,19.7,No,Yes,5,4.8
S1469,19.4,No,Yes,5,7.8
S1470,17.3,No,No,7,8.4
S1471,20.1,No,Yes,9,4.3
S1472,29.4,No,No,6,5.7
S1473,14.6,No,Yes,10,8.0
S1474,15.6,No,Yes,7,7.4
S1475,11.9,No,No,4,7.8
S1476,9.6,No,Yes,9,6.7
S1477,12.2,No,Yes,8,5.9
S1478,10.3,No,Yes,9,8.1
S1479,15.8,No,Yes,5,6.8
S1480,10.8,No,Yes,1,6.6
S1481,17.9,Yes,Yes,8,7.7
S1482,12.2,No,Yes,8,5.0
S1483,15.6,No,Yes,7,6.9
S1484,8.2,No,Yes,7,5.5
S1485,9.1,No,No,5,4.1
S1486,20.4,No,Yes,8,7.7
S1487,19.1,Yes,Yes,3,6.4
S1488,9.3,No,Yes,5,8.5
S1489,12.4,No,Yes,10,6.5
S1490,10.5,No,Yes,10,4.1
S1491,24.9,Yes,Yes,9,6.0
S1492,14.1,Yes,Yes,8,4.9
S1493,15.1,No,Yes,9,8.6
S1494,21.6,No,Yes,8,6.2
S1495,13.1,Yes,Yes,6,6.6
S1496,14.4,No,Yes,7,5.8
S1497,24.9,No,Yes,6,6.6
S1498,24.9,Yes,Yes,2,4.4
S1499,20.1,No,Yes,1,6.3
S1500,19.0,No,Yes,1,7.3
S1501,9.5,No,Yes,7,5.9
S1502,16.8,No,Yes,8,6.0
S1503,11.9,No,Yes,1,8.2
S1504,23.2,No,No,1,6.7
S1505,20.7,No,Yes,7,6.9
S1506,14.4,No,Yes,5,5.5
S1507,18.4,Yes,Yes,9,6.4
S1508,15.5,Yes,Yes,9,4.3
S1509,8.7,No,Yes,7,6.2
S1510,24.5,No,Yes,7,8.0
S1511,27.5,No,Yes,2,4.8
S1512,28.3,No,Yes,2,7.8
S1513,24.7,Yes,Yes,10,5.9
S1514,25.5,No,Yes,1,4.1
S1515,6.4,No,Yes,7,8.8
S1516,24.5,No,Yes,5,4.9
S1517,12.6,Yes,Yes,1,5.7
S1518,8.4,Yes,Yes,7,6.4
S1519,18.0,No,Yes,7,8.7
S1520,19.3,Yes,Yes,10,6.9
S1521,17.1,No,Yes,3,8.5
S1522,21.3,No,Yes,3,6.8
S1523,22.9,Yes,Yes,4,5.0
S1524,8.4,Yes,Yes,7,6.8
S1525,20.4,No,Yes,7,4.5
S1526,6.4,Yes,Yes,8,4.6
S1527,16.2,Yes,Yes,9,4.6
S1528,7.5,Yes,Yes,5,4.1
S1529,16.2,Yes,No,10,4.8
S1530,9.4,No,Yes,8,5.8
S1531,23.4,Yes,Yes,1,4.4
S1532,27.5,No,Yes,2,4.0
S1533,9.2,No,Yes,8,4.6
S1534,23.4,No,Yes,8,8.7
S1535,8.7,Yes,Yes,9,6.6
S1536,15.8,Yes,Yes,7,6.2
S1537,20.6,No,Yes,8,6.4
S1538,18.4,Yes,No,2,6.8
S1539,6.4,No,No,8,4.5
S1540,14.1,No,Yes,3,6.9
S1541,16.8,Yes,Yes,10,8.2
S1542,14.8,No,Yes,4,6.8
S1543,21.6,Yes,Yes,7,8.4
S1544,27.2,Yes,Yes,7,4.7
S1545,21.7,No,No,6,8.1
S1546,19.7,No,No,1,7.3
S1547,8.7,No,Yes,9,7.0
S1548,13.7,Yes,Yes,3,6.9
S1549,18.7,Yes,Yes,10,4.6
S1550,28.4,Yes,Yes,4,7.2
S1551,12.6,Yes,Yes,2,6.0
S1552,13.4,No,Yes,5,4.3
S1553,19.7,No,Yes,6,5.0
S1554,27.5,No,No,6,6.2
S1555,18.6,Yes,Yes,1,9.0
S1556,9.4,No,Yes,4,6.2
S1557,6.9,Yes,No,10,4.7
S1558,27.2,No,Yes,4,8.5
S1559,21.7,No,Yes,3,4.2
S1560,10.5,No,Yes,7,4.6
S1561,23.1,Yes,Yes,4,6.4
S1562,23.0,No,Yes,7,4.5
S1563,24.3,No,Yes,3,6.9
S1564,27.3,No,No,4,4.8
S1565,8.8,No,Yes,3,7.3
S1566,28.9,No,Yes,4,4.6
S1567,30.0,No,Yes,10,8.1
S1568,5.4,Yes,Yes,4,7.7
S1569,7.3,No,Yes,4,8.6
S1570,15.8,No,No,3,4.3
S1571,5.9,Yes,Yes,6,6.8
S1572,23.4,No,Yes,5,7.5
S1573,21.3,No,Yes,6,8.5
S1574,24.4,Yes,Yes,7,6.4
S1575,30.0,No,Yes,4,8.8
S1576,28.3,No,Yes,9,4.6
S1577,12.5,Yes,No,1,6.2
S1578,14.9,Yes,Yes,8,5.3
S1579,24.4,No,No,2,4.8
S1580,14.7,No,Yes,3,5.4
S1581,22.5,No,No,2,7.3
S1582,28.0,No,Yes,10,6.4
S1583,15.1,Yes,Yes,6,4.9
S1584,19.0,Yes,No,5,4.2
S1585,26.0,No,Yes,7,8.6
S1586,16.9,Yes,Yes,9,5.6
S1587,12.2,Yes,Yes,7,4.6
S1588,11.5,Yes,Yes,9,4.7
S1589,6.8,Yes,Yes,5,5.3
S1590,13.3,Yes,Yes,3,5.2
S1591,22.1,No,Yes,3,5.4
S1592,6.5,No,Yes,4,5.1
S1593,11.9,No,Yes,2,6.2
S1594,7.8,Yes,Yes,3,7.8
S1595,15.1,No,Yes,9,4.1
S1596,7.3,Yes,Yes,9,5.0
S1597,23.7,No,Yes,8,7.6
S1598,28.2,No,Yes,2,4.7
S1599,9.8,No,Yes,9,7.7
S1600,11.3,No,Yes,5,6.6
S1601,9.0,No,Yes,8,8.4
S1602,9.7,No,Yes,6,4.1
S1603,12.8,No,Yes,2,7.9
S1604,12.0,No,Yes,1,6.9
S1605,14.6,No,Yes,4,6.3
S1606,18.1,Yes,Yes,4,4.7
S1607,23.2,No,Yes,7,5.2
S1608,27.1,No,Yes,2,7.9
S1609,16.5,Yes,Yes,4,4.7
S1610,27.7,No,Yes,10,6.6
S1611,22.0,No,No,1,5.0
S1612,23.2,Yes,Yes,7,6.4
S1613,18.1,No,Yes,3,5.3
S1614,18.1,Yes,Yes,8,5.8
S1615,18.3,Yes,No,1,8.0
S1616,17.3,No,Yes,1,4.2
S1617,16.5,No,Yes,9,8.6
S1618,24.4,No,Yes,5,5.6
S1619,14.7,No,Yes,4,7.0
S1620,10.2,No,No,4,5.1
S1621,8.4,Yes,Yes,8,5.8
S1622,27.0,No,No,9,6.3
S1623,26.6,No,Yes,7,7.4
S1624,11.1,Yes,Yes,8,8.4
S1625,8.0,Yes,Yes,2,8.3
S1626,29.0,Yes,Yes,10,5.7
S1627,17.1,Yes,Yes,7,4.4
S1628,7.3,Yes,Yes,4,8.6
S1629,10.4,No,Yes,8,4.2
S1630,22.6,No,Yes,10,8.4
S1631,7.0,Yes,Yes,8,4.1
S1632,15.8,Yes,Yes,10,8.9
S1633,15.7,No,Yes,2,4.1
S1634,22.1,No,Yes,9,4.1
S1635,10.0,Yes,Yes,6,6.5
S1636,29.6,No,Yes,5,7.3
S1637,8.9,Yes,Yes,9,5.8
S1638,20.0,No,No,3,7.0
S1639,13.2,Yes,Yes,5,8.2
S1640,8.3,Yes,Yes,5,8.0
S1641,18.5,No,Yes,8,8.4
S1642,9.2,No,Yes,9,4.8
S1643,22.0,No,Yes,9,5.1
S1644,5.8,No,Yes,5,6.9
S1645,17.8,No,Yes,2,7.6
S1646,10.5,No,Yes,10,4.5
S1647,28.7,No,Yes,6,4.9
S1648,22.8,Yes,Yes,4,8.6
S1649,23.9,No,Yes,9,4.1
S1650,22.6,No,Yes,8,6.0
S1651,21.6,No,Yes,6,5.1
S1652,8.5,No,Yes,2,7.9
S1653,29.9,No,Yes,3,8.3
S1654,21.4,No,Yes,2,5.2
S1655,27.4,No,Yes,6,6.9
S1656,17.6,No,Yes,4,8.2
S1657,12.1,Yes,No,1,7.0
S1658,15.9,No,Yes,9,7.0
S1659,15.0,No,Yes,6,6.1
S1660,5.4,No,Yes,2,7.3
S1661,21.9,Yes,Yes,3,8.8
S1662,23.4,Yes,Yes,8,5.5
S1663,6.0,No,Yes,9,5.0
S1664,11.1,No,Yes,9,8.8
S1665,21.6,No,Yes,5,4.3
S1666,13.0,No,Yes,4,8.2
S1667,28.3,No,Yes,5,8.5
S1668,7.8,Yes,No,1,5.1
S1669,28.2,Yes,Yes,3,6.1
S1670,27.8,No,Yes,9,4.6
S1671,28.9,No,Yes,8,5.8
S1672,6.9,No,Yes,4,6.3
S1673,11.8,No,Yes,1,6.5
S1674,11.3,Yes,No,3,4.6
S1675,27.1,No,Yes,4,6.0
S1676,25.2,No,Yes,4,7.1
S1677,9.0,Yes,Yes,1,6.5
S1678,8.5,No,Yes,6,8.2
S1679,16.9,No,Yes,9,8.8
